,title,text,class
10,Самойлова пожаловалась на дискриминацию из-за инвалидности,"Певица Юлия Самойлова презентовала автобиографию под названием «Обычная необычная история». В ней артистка рассказала о начале музыкальной карьеры и о дискриминации, с которой ей пришлось столкнуться. По ее словам, ей не давали петь на городских праздниках и даже не пускали в заведения и магазины из-за инвалидности.",Культура
11,Борец с долговым рабством погряз в долгах и был убит,"В Петербурге нашли закопанное в земле тело гендиректора фирмы по решению проблем с долгами Игоря Родионова. Предположительно, его убили за долги. Родионова искали больше суток. По словам очевидцев, в ночь на 22 мая его силой увезли на черном внедорожнике несколько мужчин в спортивных куртках.",Россия
12,Украинским предприятиям разрешат не отдавать долги России,"Верховная Рада приняла законопроект, который позволит украинской оборонке не выплачивать долги России. Начиная с 2014 года военно-техническое сотрудничество двух стран практически свернуто. Долги украинских предприятий перед российскими партнерами составляют почти девять миллиардов рублей.",Бывший СССР
13,Показавшая трусики модель испортила репутацию «Макдоналдс»,"Таиландскую модель оштрафовали за непристойное поведение в общественном месте после скандала, который вызвали ее снимки, сделанные в ресторане «Макдоналдс» в Бангкоке. На всплывших в интернете кадрах она демонстрирует свое нижнее белье за столом в «Макдоналдс» и перед фигурой Рональда Макдональда.",Из жизни
14,Появилось видео из камеры Шакро Молодого,"В сети появилось видео из Пресненской пересыльной тюрьмы, на котором арестанты приветствуют вора в законе Захария Калашова, известного как Шакро Молодой. Заключенные желают ему «крепкого здоровья, терпения, воровского фарта и всего самого светлого». Калашов осужден на 9 лет и 10 месяцев.",Силовые структуры
15,Фетисов позвал Ди Каприо сыграть в хоккей на плавучей льдине,"Депутат Госдумы Вячеслав Фетисов рассказал о готовящемся товарищеском международном хоккейном матче недалеко от Северного полюса с участием приглашенных Голливудских звезд — Леонардо Ди Каприо и Джимом Керри. <br />Планируется, что хоккейный матч под эгидой ЮНЕП будет проведен на базе дрейфующего лагеря.",Спорт
16,Россиян перестанут сажать за незаконное предпринимательство,"Верховный суд России готовит законопроект, направленный на декриминализацию отдельных составов преступлений в сфере предпринимательской деятельности. В разряд административных правонарушений может быть переведено незаконное предпринимательство, причинение ущерба и некоторые виды мошенничества.",Силовые структуры
17,Полгода «растворявшегося в природе» грабителя поймали,"Отставной британский военный пять месяцев прятался в лесу французского департамента Вьенна и совершил более 40 ограблений местных жителей. Его хорошо замаскированную палатку с награбленным нашли в лесу. В ней был телевизор, газовые баллоны, кухонная утварь, компьютеры и украшения.",Мир
18,Названо самое опасное для русскоязычных место в мире,"Восток Украины сейчас является самым опасным местом в мире для русскоязычного населения, заявила официальный представитель Госдепартамента США Хизер Нойерт. По ее словам, Россия «контролирует насилие на востоке Украины». «Кремль мог покончить с насилием уже завтра, если хотел бы этого», — сказала Нойерт.",Бывший СССР
19,Россиянину пригрозили шестью годами тюрьмы за переписку в Telegram,"Жителю Кургана предъявили обвинение в экстремизме за переписку в мессенджере Telegram, пишет Znak.com. 51-летнему мужчине инкриминируются несколько преступлений, в частности, призывы к экстремизму и возбуждение ненависти или вражды. Обвиняемого заключили под стражу, ему грозит до 6 лет лишения свободы.<br />",Интернет и СМИ
20,Объявлен победитель Букеровской премии,"Польская писательница Ольга Токарчук признана лауреатом международной Букеровской премии за роман Flights. В жюри премии отметили, что выбор лауреата в этом году дался нелегко, поскольку каждая работа, вошедшая в шорт-лист, была достойна приза. Токарчук присудили премию в 50 тысяч фунтов стерлингов.",Культура
21,«Криптовалютный король» Винник признался в отмывании денег,"Россиянин Александр Винник признался в отмывании денежных средств в крупном размере. Явка с повинной поступила в Генпрокуратуру России. Информацию о явке с повинной подтвердил греческий адвокат Винника. По его словам, признание может послужить основанием для нового запроса России о выдаче ей своего гражданина.",Мир
22,Палестинцы восстали против пляжной сумки из арафатки,"Новая сумка британско-марокканского бренда En Shalla, которую представил на своем сайте онлайн-ретейлер Antropologie, вызвала волну возмущения среди палестинцев. Дизайнеры украсили пляжную сумку палестинским национальным узором, который обычно используется на мужских головных платках арафатках.",Ценности
23,Россиянам напророчили голодное лето,"Необходимость сертификации всех продуктов животного происхождения в автоматизированной системе «Меркурий»  спровоцирует дефицит, полагают в Ассоциации компаний розничной торговли. Проблемы с поставками продуктов начнутся 1 июля — к этой дате все торговые сети должны подключиться к системе.",Экономика
24,В смертоносных ураганах нашли антиматерию,"Ученые Калифорнийского университета зарегистрировали пучок позитронов, возникший в центре сильнейшего тропического циклона «Патрисия», который обрушился на Мексику в 2015 году. Это было первым наблюдением антиматерии, которая образовалась в атмосфере в результате земной вспышки гамма-лучей.",Наука и техника
25,Появились новые подробности о «Кортеже» Путина,"Глава Минпромторга Денис Мантуров сообщил, что разработка внедорожника Aurus проекта «Кортеж» завершится в 2019 году. По словам чиновника, данный автомобиль станет самым массовым в линейке. Экспортировать новинку начнут не раньше конца 2020 года. Автомобили будут доступны не только для покупки, но и для аренды.",Экономика
26,Воробьев подарил автобус воспитанникам спортивного училища,"Губернатор Мособласти Андрей Воробьев осмотрел училище-техникум спортивного резерва в Чехове и подарил его воспитанникам новый автобус. Это хороший подарок, потому что у нас здесь собраны шесть команд, которые ездят и участвуют в чемпионатах», — сказал министр физической культуры и спорта региона Роман Терюшков.",Россия
27,Раскрыта причина госпитализации Караченцова,"Актер Николай Караченцов проходил плановое обследование в московской больнице после прохождения курса химиотерапии в Израиле. Об этом рассказала невестка артиста Ирина. Она отметила, что здоровью Караченцова ничего не угрожает, а сам актер находится на даче: «Если бы что-то было плохое, мне бы мама сразу сообщила».",Культура
28,Мать Роналду созналась в попытке избавиться от него,"Долорес Авейру, мать футболиста мадридского «Реала» Криштиану Роналду, рассказала о том, что игрок мог не появиться на свет. «У меня уже было трое детей, я пыталась сделать аборт и не смогла. К счастью, потому что Криштиану стал звездой, которая осветила мою жизнь», — написала Авейру в своей книге.",Спорт
29,Минкультуры прокомментировало идею заблокировать Booking.com,"Директор департамента туризма и региональной политики Ольга Ярилова сообщила, что Министерство Культуры не имеет полномочий ограничивать деятельность сервиса Booking.com. ""Более того, ведомство категорически против подобной постановки вопроса в принципе"", — добавила она.",Путешествия
30,Отправивший студента в кому у парка Горького оказался тайным бойцом ММА,"Уроженец Владимирской области Анвар Батиров, обвиняемый в избиении студента московского вуза в центре Москвы, профессионально занимается смешанными боевыми искусствами и участвует в турнирах. Его родственники говорят, что тот не увлекается единоборствами, но в сети нашлись видеозаписи и свидетельства обратного.",Россия
31,Обезумевший водитель «вырубил» гаишника ударом в пах и попал на видео,"В Тюмени сотрудники ДПС задержали водителя за пьяное вождение. Во время составления протокола мужчина вел себя агрессивно по отношению к полицейским, пытался ударить правоохранителя головой, оскорблял и в конце концов пнул инспектора в пах. Против напавшего возбудили уголовное дело.",Силовые структуры
32,Немцы уличили Россию в финансировании ультраправых в Германии,"У немецких властей появилось доказательство того, что ультраправая партия «Альтернатива для Германии» получает финансирование от российского правительства. В феврале прошлого года трое политиков из АдГ летали в Москву на частном самолете. По сведениям издания, перелет, стоимость которого составила 25 тысяч евро.",Мир
33,Таксиста поймали за просмотром порно в час пик,"Водителя Uber в Новой Зеландии поймали за просмотром непристойных видео в утренний час пик. Сфотографировавший его мужчина отметил, что в это время они ехали по магистрали в потоке на довольно высокой скорости. Полиция оштрафовала водителя на 330 новозеландских долларов (около 14 тысяч рублей).",Из жизни
34,Россия напомнила Болгарии о гарантиях по газу,"Задачи договориться с Болгарией по газовым вопросам на переговорах президента России Владимира Путина с болгарским коллегой Руменом Радевым не стояло, заявил пресс-секретарь главы российского государства Дмитрий Песков. «Это отдельная тема, которая требует гарантий с болгарской стороны», — сказал он.",Россия
35,Появились подробности убийства многодетной матери на Кубани,"Соседка  многодетной матери Натальи Дмитриевой, убитой в поселке Псебай Краснодарского края, рассказала, что происходило в ночь, когда было совершено преступление. Местная жительница рассказала, что в ту ночь от криков на улице проснулась ее мать, она разбудила мужа, и он вышел во двор, чтобы выяснить, что происходит.",Россия
36,На западе Украины напали на цыганский табор,В городе Тернополь на западной Украине неизвестные напали на цыганский лагерь. Они угрожали его жителям расправой и требовали убраться из города. Прибывшая на место происшествия полиция задержала 12 человек. За последний месяц это уже третий случай нападения на цыган на Украине.,Бывший СССР
37,Предсказаны сроки тотального ожирения человечества,"Международная группа ученых показала, что при нынешних тенденциях почти четверть населения Земли будут страдать ожирением к 2045 году, а у каждого восьмого человека разовьется сахарный диабет 2-го типа. Результаты исследований представлены на Европейском конгрессе по ожирению в Вене.",Наука и техника
38,Бортпроводник исполнил сексуальный танец и прославился,"Бортпроводник ирландской авиакомпании Ryanair станцевал в проходе на борту самолета, который летел из итальянской Генуи в английский город Борнмут. Член экипажа по имени Паоло внезапно начал исполнять танец под песню Toxic американской певицы Бритни Спирс прямо во время полета, чем вызвал восторг туристов.",Путешествия
39,Кудрин захотел отобрать немного власти у правительства,"Новый глава Счетный палаты и бывший министр финансов Алексей Кудрин рассказал, что не против взять под свое ведение часть функций правительства Дмитрия Медведева. Речь идет об «открытом правительстве», за которое в бывшем составе кабинета министров отвечал Михаил Абызов.",Экономика
40,Аристократка удивила общественность купальником Бората,"Британскую аристократку и модель Леди Викторию Херви сфотографировали в странном купальном костюме во время отдыха на Французской Ривьере. Она прошлась по пляжу в тигрово-леопардовом купальнике, верхней частью которого был обычный топ с треугольными чашками, а нижней — трусы с лямками, натянутыми на плечи.",Ценности
41,Американцы выселили 30-летнего безработного сына через суд,"В США родители в судебном порядке заставили съехать 30-летнего безработного сына из их дома. За восемь лет они много раз говорили, что молодой человек должен найти себе работу, несколько раз предлагали дать ему денег на поиски нового жилья и пять раз направляли ему уведомления о выселении через адвоката.",Из жизни
42,Блогеры бросились показывать тоннели между ягодицами,"Популярные блогеры запустили новый флешмоб, названный подписчиками «тоннель Тоблерон», чтобы продемонстрировать достоинства своей фигуры. Девушки публикуют свои снимки в бикини, где видно расстояние между бедрами. Флешмоб получил имя в честь известного бренда шоколада, продукция которого имеет треугольную форму.",Интернет и СМИ
43,Русский актер из «Игры престолов» объяснил красоту сцен секса и изнасилования,"Российский актер Юрий Колокольников порассуждал о сексуальности постельных сцен в сериале «Игра престолов». Артиста попросили назвать самую горячую актрису сериала, на что Колокольников заявил, что «они там все достаточно горячие», но причина этого заключается в сюжете и профессиональной съемке.",Культура
44,Медведев отправил подчиненных на поиски денег,"Премьер-министр Дмитрий Медведев поручил Минфину и Минэкономразвития до 6 июля найти источники финансирования для исполнения нового майского указа президента Владимира Путина. При этом предложения по проектам не должны разбалансировать бюджеты российских субъектов, которые и так дефицитны.",Экономика
45,Путину доложили о смерти пожаловавшейся на медицину девушки,"Президенту России Владимиру Путину доложили о смерти девушки из Апатитов, которая пожаловалась главе государства на некачественную медицину, заявил представитель Кремля Дмитрий Песков. 25-летняя Дарья Старикова скончалась 21 мая в одной из московских клиник после продолжительной болезни.",Россия
46,Строившееся 26 лет омское метро с одной станцией велели достроить,"Министерство транспорта рекомендовало правительству Омской области достроить метро, последние годы превратившееся в мем. Ранее омские чиновники хотели остановить реализацию проекта. С 1992 года были построены полторы станции полторы станции за 14 миллиардов рублей. Для завершения строительства нужно еще 22.",Россия
47,Порошенко обновил антирекорд популярности,"Деятельность Петра Порошенко на посту президента Украины не одобряет 81 процент граждан страны, это худший показатель за все время его президентства. Социологи также отмечают низкий уровень поддержки Верховной Рады. Об этом свидетельствуют результаты нового соцопроса, проведенного по заказу из США.",Бывший СССР
48,На Урале хозяина бойцовских псов осудили за их нападение на ребенка,"В Челябинской области суд приговорил хозяина двух собак, сильно искусавших ребенка, к обязательным работам. Об этом сообщается на сайте регионального управления Следственного комитета России. Как говорится в сообщении, инцидент произошел в октябре прошлого года в Копейске.",Силовые структуры
49,Немецкие родители расплатятся за раннее наступление летних каникул,"В Германии школьников довольно сурово наказывают за прогулы без уважительной причины. Отмечается, что посещение школьных занятий в Германии обязательно, пропуск уроков приравнивается к административным правонарушениям. Особенно внимательно следят за теми случаями, когда каникулы с самовольно начинают на один-два дня.",Мир
50,Бывший тренер «Спартака» возглавил лондонский «Арсенал»,"Испанский специалист Унаи Эмери назначен на пост главного тренера лондонского «Арсенала». Испанец сменил многолетнего наставника лондонцев Арсена Венгера. Последним место работы испанца был французский «Пари Сен-Жермен», с которым Эмери удалось выиграть в минувшем сезоне три титула.",Спорт
51,600 подмосковных сирот устроили в семьи с начала года,"Более 600 детей, оставшихся без попечения родителей, устроили в приемные семьи в Подмосковье с начала года, сообщила первый заместитель председателя правительства Московской области Ольга Забралова. «В регионе работает 72 школы подготовки приемных семей», — рассказала она.",Россия
52,Меган Маркл припомнили президентские амбиции,"Супруга принца Гарри герцогиня Сассекская Меган Маркл несколько раз говорила о желании стать президентом США. Приближенный к бывшей актрисе источник заявил газете, что «Маркл ясно давала понять, что однажды хочет стать президентом». Официальный представитель герцогини также опроверг предположения журналистов.",Из жизни
53,ВТБ отказался от Дерипаски,"Банк ВТБ прекратил сотрудничество с миллиардером Олегом Дерипаской и его компаниями из-за санкций США. Глава банка Андрей Костин сообщил, что ожидает решения управления по контролю за иностранными активами (OFAC) американского Минфина по «Русалу» Дерипаски и другим компаниям, подпавшим под санкции.",Экономика
54,Производитель бикини решил нажиться на королевской свадьбе,"Британская компания Bags of love, специализирующаяся на персонифицированных сувенирах, подарила новобрачным принцу Гарри и Меган Маркл купальник и плавки с принтом из их свадебных фотографий. Купальные костюмы теперь также доступны в нескольких размерах и для поклонников королевской семьи.",Ценности
55,Воры-гурманы похитили тонну красной икры при помощи бензопил,"В Волгограде трое злоумышленников украли со склада тонну красной икры. Как рассказали в областном главке МВД, злоумышленники ночью произвели демонтаж металлической стены и проникли в помещение, после чего вынесли оттуда товар на три миллиона рублей — икру, десятки килограммов колбасы и сыра.",Силовые структуры
56,Американскую чемпионку увековечили «убогим» барельефом,"Олимпийский чемпион и чемпион мира по футболу американка Брэнди Честейн получила плиту с барельефом в Зале Славы «Бэй Арены», однако ее исполнение вызвало гнев пользователей социальных сетей. «Плита Брэнди Честейн в зале славы — абсолютное убожество», — гласит один из комментариев.",Спорт
57,Россияне захотели перемен,"Все больше россиян считают, что стране нужна не стабильность, а реформы. За последние шесть лет число таких людей увеличилось вдвое — до 56 процентов. При этом почти половина населения уверена, что в России уже произошли перемены к лучшему. Ранее о стремлении граждан к переменам говорил глава ВЦИОМ.",Россия
58,Шнуров рассказал о встрече с чертями из-за алкоголя,"Лидер группы Ленинград Сергей Шнуров рассказал о том, как чрезмерное употребление алкоголя заставило его видеть чертей. Его воспоминания приводятся в документальном фильме «Сергей Шнуров. Экспонат». «Было один раз. [Видел] таких маленьких чертиков, не больших, не страшных. Они были похожи на мышей», — поведал артист.",Культура
59,Ведущая остановила коня на скаку в прямом эфире,"Спортивный корреспондент телеканала Sky Хейли Мур сумела остановить несущуюся вокруг ипподрома лошадь, несмотря на то, что сама попала под ее копыта. Удар на скорости около 30 миль в час пришелся на лицо журналистки. Девушке удалось быстро встать на ноги и обуздать животное.",Интернет и СМИ
60,В России выступит клоун Джанго Эдвардс,"В Москве выступит артист Джанго Эдвардс, основатель школы новой клоунады и учитель Славы Полунина. В его перформансе примут участие 45 клоунов, мимов и ходулистов из США, Италии и Испании. Концерт клоуна, получивший название «Лаборатория радости», пройдет 2 июня в столичном торговом центре «Авиапарк».",Культура
61,Залповый пуск четырех ракет «Булава» с «Юрия Долгорукого» показали на видео,"Минобороны России опубликовало видео, на котором показан залповый пуск четырех баллистических ракет «Булава» с атомного подводного крейсера «Юрий Долгорукий». Помимо этого, в почти трехминутное видео попали процесс перехода субмарины в подводное положение, подготовка экипажа к стрельбам и полет четырех ракет.",Наука и техника
62,Россия заметила снижение зарплаты террористов,"«Зарплаты» боевиков террористической организации «Исламское государство» (ИГ, запрещена в России) сократились на 90 процентов с 2014 года.Общий «бюджет» ИГ на пике силы и популярности четыре года назад составлял 1,8 миллиарда долларов, а в 2017 он составил лишь 400 миллионов.",Мир
63,Стала известна доля поддельного сливочного масла,"Роскачество совместно с Роспотребнадзором и Россельхознадзором провело исследование российского рынка сливочного масла, в результате которого выявило, что почти 14 процентов всей производимой продукции является фальсификатом. В исследовании приняли участие 82 торговых марки масла, и в 10 из них нашли растительные жиры.",Экономика
64,США выдвинули Дерипаске новые условия,"Минфин США допустил возможность снятия санкций с группы компаний ГАЗ Олега Дерипаски, если миллиардер откажется от контроля над ней (ему принадлежит более 60 процентов). Аналогичный сценарий уже реализуется в других ключевых активах бизнесмена — En+ Group и компании «Русал».",Экономика
65,Американка со сломанным черепом прошла три километра за помощью,"Американка сумела отбиться от медведя гризли и, несмотря на серьезные ранения, добраться до автомобиля и найти помощь. Зверь застал ее врасплох, так как подошел со спины, но ей удалось достать газовый баллончик для защиты от медведей, отпугнуть хищное животное и спастись бегством.",Из жизни
66,Чемпион России захотел футболиста «Барселоны»,"Московский «Локомотив» рассчитывает усилиться крайним защитником каталонской «Барселоны» Алешем Видалем. Футболист рассматривает несколько вариантов продолжения карьеры. Среди них клубы чемпионата Испании — «Вильярреал», «Севилья», «Валенсия». Отмечается, что наибольший интерес проявляет «Локомотив».",Спорт
